source,target,note
Prédavy,普雷达维,警察
Bazin,巴赞,警察
Wagner,瓦格纳,军士长
Braun,布劳恩,中尉
Violette,维奥莱特,妓女
Marek Dutziak,马雷克·杜齐亚克,波兰人/人质，被达尼埃尔救出
Madame Durieux,迪里厄太太,药店顾客
Galien,加利安,药剂师
Richard Dennières,理查·德尼耶,黑市贩子
Portais/Morten,波尔泰/莫尔坦,大夫
Escoffier (Gédéon),埃斯科菲耶,贝桑松印刷商，被捕
Geneviève Leclerc,热纳维耶芙·勒克莱,镇上女性
Old Thomier,老托米耶,洗衣店老板
Guyon,居雍,报社
Villeneuve,维勒纳夫,故事主要发生地
Essarts,埃萨尔,玛丽·日尔曼的农场所在地
Seurre,瑟尔,
Moissay,莫瓦赛,马赛尔出生地/转移站
Dijon,第戎,
Besançon,贝桑松,
Trébeurden,特雷伯登,
Strasbourg,斯特拉斯堡,
Jura,汝拉,
Poligny,波利尼,
Bourg,布尔,
Heidelberg,海德堡,
Bohemia,波希米亚,
Pontarlier,蓬塔利耶,通往瑞士
Minsk,明斯克,穆勒被调往
Kiev,基辅,库尔特被调往
Kharkov,哈尔科夫,
Wiesbaden,威斯巴登,
Verdun,凡尔登,
Nantes,南特,
Bordeaux,波尔多,
Rouen,鲁昂,
Liège,列日,
Béziers,贝济耶,
Andréville,安德烈维勒,
Chateaubriand,沙托布里昂,处决人质之地
Pithiviers,皮蒂维耶,收容营
Beaune la Rolande,博纳拉罗朗德,收容营
Tlemcen,特莱姆森,
Saint-Roch,圣罗什,仓库所在地
Hôtel Moderne,摩登酒店,奥尔唐斯住处
Hôtel de la Pompe,水泵旅馆,
Avenue Clémenceau,克列孟梭大街,
Rue Poincaré,庞加莱街,
Rue de l'Hebergement,收容街,苏珊娜住处
Place Clément,克莱芒广场,
Chapelle Saint Christophe,圣克里斯托夫教堂,
Guivarde,吉瓦尔德河,
Loue,卢河,卡贝尔尼斯抛尸处
Grigny Woods,格里尼树林,紧急集合点
Chauverne bridge,绍韦尔纳桥,发现尸体处
Saint-Jacques Calvaire,圣雅克十字架,林边碰头点
Breuil,布勒伊,
Barbès,巴尔贝斯,
Morsang,莫尔桑,
the Line,分界线,占领区/非占领区分界
Sicherheitsdienst/SD,安全处/安全勤务处,德国情报机构
Aryanisation,雅利安化,没收犹太人产业
Secours National,国家救济会,
BMA,反国家行为局,
Commissariat for Jewish Questions,犹太事务委员会,
Renseignements Généraux,情报总处,
Politburo,政治局,
Action Française,"""法兰西行动""",极右组织
Scapini Mission,斯卡皮尼使团,战俘事务
Hostage Code,人质法令,
National Revolution,国民革命,维希政权意识形态
Interregional Committee,大区委员会,共产党组织
Crémieux-Optique,克雷米厄光学,克雷米厄的企业
Schwartz-Concrete,施瓦茨混凝土,施瓦茨的工厂
